PostingID,JobTitle,RoleLevel,Company,Location,Country,Region,City,EmploymentType,CompensationType,SalaryMin,SalaryMax,SalaryMid,PostedDate,Source,RemoteType,Industry
66,Data Scientist,Junior,Company66,Seattle,USA,West,Seattle,Full-time,Yearly,87974,119023,103499,2024-12-20,Indeed,Hybrid,Finance
67,Data Engineer,Junior,Company67,New York,USA,East,New York,Full-time,Yearly,81600,110399,96000,2024-01-10,Indeed,Remote,Consulting
68,Data Analyst,Senior,Company68,Chicago,USA,East,Chicago,Full-time,Yearly,107100,144900,126000,2024-04-17,Indeed,Remote,Finance
69,Data Engineer,Mid,Company69,Boston,USA,East,Boston,Full-time,Yearly,107525,145475,126500,2024-07-03,Glassdoor,Hybrid,Finance
70,Data Scientist,Mid,Company70,San Francisco,USA,West,San Francisco,Full-time,Yearly,138125,186875,162500,2024-05-24,Glassdoor,On-site,Retail
71,Data Engineer,Senior,Company71,Austin,USA,East,Austin,Full-time,Yearly,131750,178250,155000,2024-04-07,Indeed,Remote,Healthcare
72,Data Engineer,Junior,Company72,Seattle,USA,West,Seattle,Full-time,Yearly,78200,105799,92000,2024-08-11,Indeed,Remote,Healthcare
73,ML Engineer,Senior,Company73,Austin,USA,East,Austin,Full-time,Yearly,161500,218499,190000,2024-08-15,Glassdoor,Remote,Finance
74,Data Analyst,Mid,Company74,New York,USA,East,New York,Full-time,Yearly,91800,124199,108000,2024-06-05,Glassdoor,Remote,Retail
75,Data Analyst,Junior,Company75,San Francisco,USA,West,San Francisco,Full-time,Hourly,69062,93437,81250,2024-02-16,Glassdoor,Remote,Consulting
76,Data Scientist,Senior,Company76,Austin,USA,East,Austin,Full-time,Yearly,153000,206999,180000,2024-08-29,LinkedIn,Hybrid,Retail
77,Software Engineer,Mid,Company77,Chicago,USA,East,Chicago,Full-time,Yearly,98175,132825,115500,2024-05-04,LinkedIn,Hybrid,Retail
78,Data Analyst,Junior,Company78,Austin,USA,East,Austin,Full-time,Yearly,55250,74750,65000,2024-01-27,Indeed,Remote,Healthcare
79,Data Scientist,Mid,Company79,Chicago,USA,East,Chicago,Full-time,Yearly,116025,156975,136500,2024-04-30,LinkedIn,Hybrid,Consulting
80,Data Scientist,Junior,Company80,San Francisco,USA,West,San Francisco,Full-time,Yearly,95625,129374,112500,2024-12-26,Glassdoor,On-site,Technology
81,Software Engineer,Mid,Company81,San Francisco,USA,West,San Francisco,Full-time,Yearly,116875,158125,137500,2024-06-06,Glassdoor,Hybrid,Retail
82,Software Engineer,Junior,Company82,Chicago,USA,East,Chicago,Full-time,Yearly,66937,90562,78750,2024-01-25,Indeed,On-site,Finance
83,ML Engineer,Senior,Company83,Seattle,USA,West,Seattle,Full-time,Yearly,185724,251273,218499,2024-03-23,LinkedIn,On-site,Retail
84,ML Engineer,Senior,Company84,New York,USA,East,New York,Full-time,Yearly,193800,262200,228000,2024-04-01,Glassdoor,On-site,Consulting
85,Data Analyst,Junior,Company85,New York,USA,East,New York,Full-time,Yearly,66300,89700,78000,2024-07-06,LinkedIn,Hybrid,Consulting
86,Data Scientist,Junior,Company86,Seattle,USA,West,Seattle,Full-time,Yearly,87974,119023,103499,2024-01-10,LinkedIn,Hybrid,Finance
87,Data Engineer,Junior,Company87,Austin,USA,East,Austin,Full-time,Yearly,68000,92000,80000,2024-10-03,Glassdoor,Remote,Retail
88,Data Engineer,Mid,Company88,Austin,USA,East,Austin,Full-time,Yearly,97750,132250,115000,2024-03-18,LinkedIn,Remote,Finance
89,Data Analyst,Junior,Company89,Austin,USA,East,Austin,Full-time,Yearly,55250,74750,65000,2024-10-14,LinkedIn,On-site,Healthcare
90,Data Analyst,Senior,Company90,San Francisco,USA,West,San Francisco,Full-time,Yearly,127500,172500,150000,2024-04-04,Glassdoor,On-site,Healthcare
91,Data Scientist,Mid,Company91,New York,USA,East,New York,Full-time,Yearly,132600,179400,156000,2024-01-10,Indeed,Hybrid,Healthcare
92,Software Engineer,Junior,Company92,San Francisco,USA,West,San Francisco,Full-time,Yearly,79687,107812,93750,2024-05-11,Indeed,Remote,Healthcare
93,ML Engineer,Mid,Company93,Austin,USA,East,Austin,Full-time,Yearly,119000,161000,140000,2024-09-10,Indeed,Remote,Healthcare
94,Data Analyst,Junior,Company94,New York,USA,East,New York,Full-time,Yearly,66300,89700,78000,2024-09-07,LinkedIn,Remote,Consulting
95,ML Engineer,Mid,Company95,Seattle,USA,West,Seattle,Full-time,Yearly,136850,185150,161000,2024-12-30,Glassdoor,Remote,Healthcare
96,Data Analyst,Junior,Company96,Austin,USA,East,Austin,Full-time,Yearly,55250,74750,65000,2024-05-31,LinkedIn,Remote,Retail
97,Data Analyst,Mid,Company97,Seattle,USA,West,Seattle,Full-time,Yearly,87974,119023,103499,2024-01-07,Glassdoor,Remote,Healthcare
98,Data Analyst,Junior,Company98,Boston,USA,East,Boston,Full-time,Yearly,60775,82225,71500,2024-06-09,Glassdoor,Remote,Technology
99,Data Scientist,Mid,Company99,New York,USA,East,New York,Full-time,Yearly,132600,179400,156000,2024-05-04,Glassdoor,Remote,Retail
100,Data Scientist,Mid,Company100,Seattle,USA,West,Seattle,Full-time,Yearly,127075,171925,149500,2024-03-06,Indeed,Hybrid,Retail
